Category 1,Quality,Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Wine,Premium,DF Belgium/Luxembourg,,,,,1.9,1.7,1.8,1.7,1.4,0.9,0.4,0.2,0.7,0.4,0.3,0.2,0.5,0.4,0.4,0.4,0.2,0.3,0.5,1.0,1.6,1.2,1.3
Wine,Premium,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.5,0.5,0.5,0.7,1.1,1.1,0.7,1.2,1.3,1.3,1.3
Wine,Premium,Italy,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,1.0,1.3,1.5,2.3,3.0,3.3,3.0,3.0,2.0,2.0,0.5,0.3,0.3,0.5,0.8,0.7,1.0,1.2,1.3
Wine,Premium,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.5,0.8,0.4,0.3,0.4,1.2
Wine,Premium,DF Portugal,,,,,,,,,,,0.2,0.2,0.2,0.1,0.1,0.0,0.1,0.3,0.3,0.3,0.3,0.5,0.3,0.4,0.9,0.9,1.2
Wine,Premium,DF Ukraine,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8,0.5,0.7,1.1
Wine,Premium,DF Israel,,,,,,,,,,,0.8,0.8,1.0,0.7,0.7,0.7,0.8,0.6,0.5,0.5,0.6,0.7,1.6,1.8,1.1,1.1,1.1
Wine,Premium,DF Rest of CIS,,,,,,,,,,,,,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,1.4,0.9,1.2,1.4,1.0
Wine,Premium,DF Italy,,,,,0.5,0.5,0.5,0.5,0.5,0.4,0.1,0.3,0.4,0.2,0.1,0.2,0.3,0.5,0.6,0.5,0.4,0.6,0.8,1.1,0.5,0.7,0.9
Wine,Premium,DF New Zealand,,,,,,,,,,,0.3,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.8,0.5,1.1,0.6,0.5,0.5,0.9
